"SiteID","wsArea","pctSili","pctBasa","pctGran","pctCarb","majGeol","elev"
741,0.861300000000402,0,1,0,0,"basaltic",939.703308105469
742,2.32960000000064,0,1,0,0,"basaltic",834.954772949219
743,3.09050000000064,0,0.950688334062045,0.0493116659379554,0,"basaltic",772.503112792969
744,3.9323000000004,0,0.881699856139241,0.118300143860759,0,"basaltic",713.2421875
745,4.44230000000088,0,0.850874500723258,0.149125499276742,0,"basaltic",667.729675292969
746,5.24970000000056,0,0.812242045312686,0.187757954687314,0,"basaltic",649.399597167969
747,10.4304000000015,0,0.902798856300453,0.0972011436995474,0,"basaltic",609.937622070312
748,11.1563000000024,0,0.909123382371958,0.0908766176280418,0,"basaltic",559.457885742188
749,12.8597000000015,0,0.921160928385283,0.0788390716147172,0,"basaltic",526.364929199219
750,13.2735000000015,0,0.923618728350188,0.0763812716498121,0,"basaltic",486.189514160156
751,13.7760000000015,0,0.92640484834177,0.0735951516582305,0,"basaltic",448.466003417969
752,14.0201000000015,0,0.927686192734447,0.0723138072655534,0,"basaltic",423.514801025391
753,1.12400000000036,0,1,0,0,"basaltic",731.88818359375
754,1.25800000000036,0,0.99691999796752,0.00308000203247994,0,"basaltic",599.742980957031
755,2.31690000000024,0,0.898226610149648,0.101773389850351,0,"basaltic",549.413879394531
756,0.843100000000395,0,1,0,0,"basaltic",997.31201171875
757,0.890800000000395,0,1,0,0,"basaltic",939.959228515625
758,0.763799999999788,0,0.835300043187737,0.164699956812263,0,"basaltic",598.881408691406
759,1.01870000000027,0.545908434097789,0,0,0.454091565902211,"siliciclastic",309.852111816406
760,1.88580000000016,0.429019369290982,0,0,0.570980630709018,"carbonate",278.936706542969
761,2.31060000000017,0.350144865666449,0,0,0.649855134333551,"carbonate",253.089401245117
762,1.01040000000028,0,0,1,0,"granitic",348.343688964844
763,1.33650000000028,0,0.0088339376377972,0.991166062362203,0,"granitic",301.683410644531
764,1.77640000000028,0,0.0105802124641189,0.989419787535881,0,"granitic",265.524993896484
765,1.85710000000028,0,0.0101204509295502,0.98987954907045,0,"granitic",240.752304077148
766,0.801800000000089,0,1,0,0,"basaltic",560.525024414062
767,0.72140000000021,0,0.624523426454184,0.375476573545816,0,"basaltic",668.691528320312
768,1.02569999999975,0,1,0,0,"basaltic",658.941772460938
769,1.20519999999951,0,1,0,0,"basaltic",584.656127929688
770,1.62769999999975,0,1,0,0,"basaltic",426.555297851562
771,1.76179999999951,0,0.980776542897704,0.0192234571022956,0,"basaltic",352.238708496094
772,1.23100000000037,0,0.726612570817471,0.273387429182529,0,"basaltic",371.76611328125
773,1.38770000000013,0,0.652797785775231,0.347202214224769,0,"basaltic",329.510314941406
774,1.64770000000014,0,0.549789092262237,0.450210907737763,0,"basaltic",302.458312988281
775,0.863899999999963,0,0,1,0,"granitic",449.107696533203
776,1.14189999999984,0,0,1,0,"granitic",396.193511962891
